cluster,membership_probability,representation,wallet
-1,0.0,HIGH_CONFIDENCE_SCALED,ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq0xtd3e8c9wcj8swd2swg90w95u6xt3zsqzdnx7r
2,1.0,HIGH_CONFIDENCE_SCALED,ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq0xz88g9vckq3vp47c4nakj2g7ugslm2acl45l9r
-1,0.0,HIGH_CONFIDENCE_SCALED,ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq0y6r5a4py64gccqrd77qvuhr8v3d2xfjcnrz45r
3,1.0,HIGH_CONFIDENCE_SCALED,ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq0z6aytm8n2hmlggs88jguhuekkk9zq8hgaew60w
-1,0.0,HIGH_CONFIDENCE_SCALED,ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq0z6h6nlju0mcdp0ny0sx77tmu6j2700lqkdeakp
0,0.39502025697797255,HIGH_CONFIDENCE_SCALED,ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq0z799mwernws5tt7me85kr63jauldckkcpdyx4t
1,0.6566474481694747,HIGH_CONFIDENCE_SCALED,ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq0zf2s0pke9a2nul6vhurkanmft0nx57mcuqadmm
0,1.0,HIGH_CONFIDENCE_SCALED,ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq20gymh8hj0295y4sexft6t8u07c87txyg4y75m0
-1,0.0,HIGH_CONFIDENCE_SCALED,ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq20k6na5zxh7ska80rl4x6cvu5269q8whsdasfzf
-1,0.0,HIGH_CONFIDENCE_SCALED,ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq20u0ncxwckqw79c9f9kev5mlckwsmj8psnrz4u4
4,1.0,HIGH_CONFIDENCE_SCALED,ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq20y2fdrsxsg9d2ze0mnmjq9lyy3rdmdpq736f0p
1,0.6035356241521573,HIGH_CONFIDENCE_SCALED,ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq22vda73jzdlu3lf6luskzcjz7z5ksa58stp95p5
2,0.9348115888802543,HIGH_CONFIDENCE_SCALED,ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq23j637de7ulapxyn0h2kl2784uhrv6whg2708tp
-1,0.0,HIGH_CONFIDENCE_SCALED,ckb1qzda0cr08m85hc8jlnfp3zer7xulejywt49kt2rr0vthywaa50xwsq23ylk2ds3ljwawtj47npyhqersnxamxjssl8vaq
